id,type,name,dscr
1,copyright,pd,public domain
2,copyright,ic,in copyright
3,copyright,op,out-of-print (implies in-copyright)
4,copyright,orph,copyright-orphaned (implies in-copyright)
6,access,umall,available to UM affiliates and walk-in patrons (all campuses)
7,access,ic-world,in-copyright and permitted as world viewable by the copyright holder
5,copyright,und,undetermined copyright status
8,access,nobody,available to nobody; blocked for all users
9,copyright,pdus,public domain only when viewed in the US
10,copyright,cc-by-3.0,"Creative Commons Attribution license, 3.0 Unported"
11,copyright,cc-by-nd-3.0,"Creative Commons Attribution-NoDerivatives license, 3.0 Unported"
12,copyright,cc-by-nc-nd-3.0,"Creative Commons Attribution-NonCommercial-NoDerivatives license, 3.0 Unported"
13,copyright,cc-by-nc-3.0,"Creative Commons Attribution-NonCommercial license, 3.0 Unported"
14,copyright,cc-by-nc-sa-3.0,"Creative Commons Attribution-NonCommercial-ShareAlike license, 3.0 Unported"
15,copyright,cc-by-sa-3.0,"Creative Commons Attribution-ShareAlike license, 3.0 Unported"
16,copyright,orphcand,orphan candidate - in 90-day holding period (implies in-copyright)
17,copyright,cc-zero,Creative Commons Zero license (implies pd)
18,access,und-world,undetermined copyright status and permitted as world viewable by the depositor
19,copyright,icus,in copyright in the US
20,copyright,cc-by-4.0,Creative Commons Attribution 4.0 International license
21,copyright,cc-by-nd-4.0,Creative Commons Attribution-NoDerivatives 4.0 International license
22,copyright,cc-by-nc-nd-4.0,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International license
23,copyright,cc-by-nc-4.0,Creative Commons Attribution-NonCommercial 4.0 International license
24,copyright,cc-by-nc-sa-4.0,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International license
25,copyright,cc-by-sa-4.0,Creative Commons Attribution-ShareAlike 4.0 International license
26,access,pd-pvt,public domain but access limited due to privacy concerns
27,access,supp,suppressed from view; see note for details
